OR4F5	NM_001005484
TEX22	NM_001195082
MTA1	NM_004689
CRIP2	NM_001270837
CRIP1	NM_001311
C14orf80	NM_001134875
TMEM121	NM_025268
IGHA2	ENST00000390539
IGHE	ENST00000390541
IGHG4	ENST00000390543
IGHG2	ENST00000390545
IGHA1	ENST00000390547
IGHG1	ENST00000390548
IGHG3	ENST00000390551
IGHD	ENST00000390556
IGHM	ENST00000390559
IGHJ6	ENST00000390560
IGHJ5	ENST00000488476
IGHJ4	ENST00000461719
IGHJ3	ENST00000463911
IGHJ2	ENST00000390564
IGHJ1	ENST00000390565
IGHD7-27	ENST00000439842
IGHD1-26	ENST00000390567
IGHD6-25	ENST00000452198
IGHD5-24	ENST00000390569
IGHD4-23	ENST00000437320
IGHD3-22	ENST00000390571
IGHD2-21	ENST00000390572
IGHD1-20	ENST00000450276
IGHD6-19	ENST00000390574
IGHD5-18	ENST00000390575
IGHD4-17	ENST00000431870
IGHD3-16	ENST00000390577
IGHD2-15	ENST00000390578
IGHD1-14	ENST00000451044
IGHD6-13	ENST00000390580
IGHD5-12	ENST00000390581
IGHD4-11	ENST00000431440
IGHD3-10	ENST00000390583
IGHD3-9	ENST00000390584
IGHD2-8	ENST00000390585
IGHD1-7	ENST00000430425
IGHD6-6	ENST00000454691
IGHD5-5	ENST00000390588
IGHD4-4	ENST00000414852
IGHD3-3	ENST00000390590
IGHD2-2	ENST00000390591
IGHD1-1	ENST00000454908
KIAA0125	ENST00000429431
IGHV6-1	ENST00000390593
IGHV1-2	ENST00000390594
IGHV1-3	ENST00000390595
IGHV4-4	ENST00000390596
IGHV2-5	ENST00000390597
IGHV3-7	ENST00000390598
IGHV1-8	ENST00000390599
IGHV3-9	ENST00000390600
IGHV3-11	ENST00000390601
IGHV3-13	ENST00000390602
IGHV3-15	ENST00000390603
IGHV3-16	ENST00000390604
IGHV1-18	ENST00000390605
IGHV3-20	ENST00000390606
IGHV3-21	ENST00000390607
IGHV3-23	ENST00000390609
IGHV1-24	ENST00000390610
IGHV2-26	ENST00000390611
IGHV4-28	ENST00000390612
IGHV3-30	ENST00000390613
IGHV4-31	ENST00000438142
IGHV3-33	ENST00000390615
IGHV4-34	ENST00000390616
IGHV3-35	ENST00000390617
IGHV3-38	ENST00000390618
IGHV4-39	ENST00000390619
IGHV3-43	ENST00000434710
IGHV1-45	ENST00000390621
IGHV1-46	ENST00000390622
IGHV3-48	ENST00000390624
IGHV3-49	ENST00000390625
IGHV5-51	ENST00000390626
IGHV3-53	ENST00000390627
IGHV1-58	ENST00000390628
IGHV4-59	ENST00000455737
IGHV4-61	ENST00000390630
IGHV3-64	ENST00000454421
IGHV3-66	ENST00000390632
IGHV1-69	ENST00000390633
IGHV2-70	ENST00000390634
IGHV3-72	ENST00000433072
IGHV3-73	ENST00000390636
IGHV3-74	ENST00000424969
IGHV7-81	ENST00000390639
IGHV1OR15-9	ENST00000338912
IGHV3OR15-7	ENST00000558565
IGHD5OR15-5A	ENST00000604642
IGHD4OR15-4A	ENST00000603326
IGHD3OR15-3A	ENST00000604950
IGHD2OR15-2A	ENST00000603077
IGHD1OR15-1A	ENST00000605284
GOLGA6L6	NM_001145004
AC012414.1	ENST00000595502
LOC102724631	NM_207355
POTEB	NM_001277304
POTEB2	NM_001277303
IGHD5OR15-5B	ENST00000604446
IGHD4OR15-4B	ENST00000603693
IGHD3OR15-3B	ENST00000603935
IGHD2OR15-2B	ENST00000604102
IGHD1OR15-1B	ENST00000604838
DKFZP547L112	ENST00000594169
OR4M2	NM_001004719
OR4N4	NM_001005241
IGHV1OR15-1	ENST00000604066
AC010760.1	ENST00000599120
IGHV4OR15-8	ENST00000557788
GOLGA6L1	NM_001001413
GOLGA6L22	NM_001271664
TUBGCP5	NM_052903
CYFIP1	NM_001287810
NIPA2	NM_001008860
NIPA1	NM_144599
GOLGA8I	ENST00000450802
RP11-467N20.5	ENST00000558241
GOLGA8S	ENST00000562295
GOLGA6L2	ENST00000567107
MKRN3	NM_005664
MAGEL2	NM_019066
NDN	NM_002487
NPAP1	NM_018958
SNURF	NM_022804
SNRPN	NM_022808
UBE3A	NM_000462
ATP10A	NM_024490
GABRB3	NM_000814
GABRA5	NM_000810
GABRG3	NM_033223
OCA2	NM_000275
HERC2	NM_004667
GOLGA8F	ENST00000532622
GOLGA8G	ENST00000525590
GOLGA8M	NM_001282468
APBA2	NM_005503
FAM189A1	NM_015307
NDNL2	NM_138704
TJP1	NM_001301025
GOLGA8J	NM_001282472
GOLGA8T	ENST00000569052
CHRFAM7A	NM_139320
GOLGA8R	NM_001282484
GOLGA8Q	ENST00000562783
GOLGA8H	NM_001282490
ARHGAP11B	NM_001039841
FAN1	NM_014967
MTMR10	NM_017762
TRPM1	NM_001252020
LOC283710	NM_001243538
KLF13	NM_015995
OTUD7A	NM_130901
CHRNA7	NM_001190455
GOLGA8K	NM_001282493
AC139426.2	ENST00000435655
GOLGA8O	NM_001277308
AC135983.2	ENST00000593303
GOLGA8N	NM_001282494
ARHGAP11A	NM_014783
SCG5	NM_001144757
GREM1	NM_013372
FMN1	NM_001103184
RYR3	NM_001036
AVEN	NM_020371
CHRM5	NM_012125
EMC7	NM_020154
PGBD4	NM_152595
KATNBL1	NM_024713
EMC4	NM_016454
SLC12A6	NM_133647
NOP10	NM_018648
NUTM1	NM_001284292
LPCAT4	NM_153613
GOLGA8A	NM_181077
GOLGA8B	NM_001023567
GJD2	NM_020660
ACTC1	NM_005159
AQR	NM_014691
AC114546.1	ENST00000391457
ZNF770	NM_014106
DPH6	NM_080650
C15orf41	NM_001290233
MEIS2	NM_170675
TMCO5A	NM_152453
SPRED1	NM_152594
FAM98B	NM_173611
RASGRP1	NM_005739
C15orf53	NM_207444
C15orf54	NM_207445
THBS1	NM_003246
FSIP1	NM_152597
GPR176	NM_001271854
EIF2AK4	NM_001013703
SRP14	NM_003134
BMF	NM_001003940
BUB1B	NM_001211
RP11-133K1.2	ENST00000558658
C15orf56	NM_001039905
PAK6	NM_001128628
ANKRD63	NM_001190479
PLCB2	NM_004573
INAFM2	NM_001301268
C15orf52	NM_207380
PHGR1	NM_001145643
DISP2	NM_033510
KNSTRN	NM_033286
IVD	NM_002225
BAHD1	NM_014952
CHST14	NM_130468
C15orf57	NM_001080791
RPUSD2	NM_152260
CASC5	NM_170589
RAD51	NM_001164269
RMDN3	NM_018145
GCHFR	NM_005258
DNAJC17	NM_018163
C15orf62	NM_001130448
ZFYVE19	NM_032850
PPP1R14D	NM_001130143
SPINT1	NM_181642
RHOV	NM_133639
VPS18	NM_020857
DLL4	NM_019074
CHAC1	NM_024111
INO80	NM_017553
EXD1	NM_001286441
CHP1	NM_007236
OIP5	NM_007280
NUSAP1	NM_016359
NDUFAF1	NM_016013
RTF1	NM_015138
ITPKA	NM_002220
LTK	NM_002344
RPAP1	NM_015540
TYRO3	NM_006293
MGA	NM_001164273
MAPKBP1	NM_001128608
AC073657.1	ENST00000597767
JMJD7	NM_001114632
JMJD7-PLA2G4B	NM_005090
PLA2G4B	ENST00000452633
SPTBN5	NM_016642
EHD4	NM_139265
PLA2G4E	NM_001206670
PLA2G4D	NM_178034
PLA2G4F	NM_213600
VPS39	NM_001301138
TMEM87A	NM_015497
GANC	NM_198141
CAPN3	NM_000070
ZNF106	NM_022473
SNAP23	NM_003825
LRRC57	NM_153260
HAUS2	NM_018097
STARD9	NM_020759
CDAN1	NM_138477
TTBK2	NM_173500
UBR1	NM_174916
TMEM62	NM_024956
CCNDBP1	NM_012142
EPB42	NM_000119
TGM5	NM_201631
TGM7	NM_052955
LCMT2	NM_014793
ADAL	NM_001159280
ZSCAN29	NM_152455
TUBGCP4	NM_001286414
TP53BP1	NM_001141980
MAP1A	NM_002373
PPIP5K1	NM_001130858
CKMT1B	NM_020990
STRC	NM_153700
CATSPER2	NM_001282310
CKMT1A	NM_001015001
PDIA3	NM_005313
ELL3	NM_025165
AC018512.1	ENST00000598763
SERF2	NM_001199875
SERINC4	NM_001258031
RP11-296A16.1	ENST00000417761
HYPK	NM_016400
MFAP1	NM_005926
WDR76	NM_024908
FRMD5	NM_032892
CASC4	NM_138423
CTDSPL2	NM_016396
EIF3J	NM_003758
SPG11	NM_025137
PATL2	NM_001145112
B2M	NM_004048
TRIM69	NM_182985
C15orf43	NM_152448
SORD	NM_003104
DUOX2	NM_014080
DUOXA2	NM_207581
DUOXA1	NM_144565
DUOX1	NM_017434
SHF	NM_001301168
SLC28A2	NM_004212
GATM	NM_001482
SPATA5L1	NM_024063
C15orf48	NM_197955
SLC30A4	NM_013309
BLOC1S6	NM_012388
SQRDL	NM_001271213
RP11-96O20.4	ENST00000564080
FKSG62	ENST00000557832
SEMA6D	NM_153618
SLC24A5	NM_205850
MYEF2	NM_016132
CTXN2	NM_001145668
SLC12A1	NM_000338
DUT	NM_001025248
FBN1	NM_000138
CEP152	NM_001194998
SHC4	NM_203349
EID1	NM_014335
SECISBP2L	NM_001193489
COPS2	NM_001143887
GALK2	NM_002044
FAM227B	NM_152647
FGF7	NM_002009
DTWD1	NM_020234
ATP8B4	NM_024837
SLC27A2	NM_003645
HDC	NM_002112
GABPB1	NM_005254
USP8	NM_005154
USP50	NM_203494
TRPM7	NM_017672
SPPL2A	NM_032802
AP4E1	NM_001252127
TNFAIP8L3	NM_207381
CYP19A1	NM_031226
GLDN	NM_181789
DMXL2	NM_001174116
SCG3	NM_013243
LYSMD2	NM_153374
TMOD2	NM_014548
TMOD3	NM_014547
LEO1	NM_138792
MAPK6	NM_002748
BCL2L10	NM_020396
GNB5	NM_016194
MYO5C	NM_018728
MYO5A	NM_000259
ARPP19	NM_006628
FAM214A	NM_001286495
ONECUT1	NM_004498
WDR72	NM_182758
UNC13C	NM_001080534
RSL24D1	NM_016304
RAB27A	NM_004580
PIGB	NM_004855
CCPG1	NM_001204450
C15orf65	NM_001198784
DYX1C1	NM_130810
PYGO1	NM_015617
PRTG	NM_173814
NEDD4	NM_001284338
RFX7	NM_022841
TEX9	NM_198524
MNS1	NM_018365
ZNF280D	NM_017661
TCF12	NM_207037
CGNL1	NM_001252335
MYZAP	NM_001018100
GCOM1	NM_001285900
POLR2M	NM_015532
ALDH1A2	NM_003888
AQP9	NM_020980
LIPC	NM_000236
ADAM10	NM_001110
FAM63B	NM_001040450
SLTM	NM_024755
RNF111	NM_001270528
CCNB2	NM_004701
MYO1E	NM_004998
C15ORF31	ENST00000599727
LDHAL6B	NM_033195
FAM81A	NM_152450
GCNT3	NM_004751
GTF2A2	NM_004492
BNIP2	NM_004330
FOXB1	NM_012182
ANXA2	NM_001002858
NARG2	NM_024611
RORA	NM_134260
VPS13C	NM_020821
C2CD4A	NM_207322
C2CD4B	NM_001007595
RP11-625H11.1	ENST00000558940
TLN2	NM_015059
TPM1	NM_001018005
LACTB	NM_032857
RPS27L	NM_015920
RAB8B	NM_016530
APH1B	NM_031301
CA12	NM_001218
USP3	NM_006537
FBXL22	NM_203373
HERC1	NM_003922
DAPK2	NM_014326
FAM96A	NM_032231
SNX1	NM_001242933
SNX22	NM_024798
PPIB	NM_000942
CSNK1G1	NM_022048
CTD-2116N17.1	ENST00000606793
KIAA0101	NM_014736
TRIP4	NM_016213
ZNF609	NM_015042
OAZ2	NM_002537
RBPMS2	NM_194272
PIF1	NM_001286497
AC069368.3	ENST00000437723
PLEKHO2	NM_025201
ANKDD1A	NM_182703
SPG21	NM_016630
MTFMT	NM_139242
SLC51B	NM_178859
RASL12	NM_016563
KBTBD13	NM_001101362
UBAP1L	NM_001163692
PDCD7	NM_005707
CLPX	NM_006660
CILP	NM_003613
PARP16	NM_017851
IGDCC3	NM_004884
IGDCC4	NM_020962
DPP8	NM_197960
PTPLAD1	NM_016395
VWA9	NM_001207058
SLC24A1	NM_004727
DENND4A	NM_001144823
RAB11A	NM_004663
MEGF11	NM_032445
DIS3L	NM_001143688
TIPIN	NM_017858
MAP2K1	NM_002755
SNAPC5	NM_006049
RPL4	NM_000968
ZWILCH	NM_017975
LCTL	NM_207338
RP11-321F6.1	ENST00000558797
SMAD6	NM_005585
SMAD3	NM_005902
RP11-342M21.2	ENST00000558463
AAGAB	NM_024666
IQCH	NM_001031715
C15orf61	NM_001143936
MAP2K5	NM_145160
SKOR1	NM_001258024
PIAS1	NM_016166
CALML4	NM_033429
RP11-315D16.2	ENST00000562767
CLN6	NM_017882
FEM1B	NM_015322
ITGA11	NM_001004439
CORO2B	NM_006091
ANP32A	NM_006305
SPESP1	NM_145658
NOX5	NM_024505
GLCE	NM_015554
PAQR5	NM_001104554
KIF23	NM_138555
RPLP1	NM_001003
TLE3	NM_005078
UACA	NM_018003
LARP6	NM_018357
THAP10	NM_020147
LRRC49	NM_001199017
CT62	NM_001102658
THSD4	NM_024817
NR2E3	NM_014249
MYO9A	NM_006901
SENP8	NM_001166340
GRAMD2	NM_001012642
PKM	NM_001206796
PARP6	NM_020214
CELF6	NM_052840
HEXA	NM_000520
TMEM202	NM_001080462
ARIH1	NM_005744
GOLGA6B	NM_018652
HIGD2B	ENST00000311755
BBS4	NM_033028
ADPGK	NM_031284
NEO1	NM_002499
HCN4	NM_005477
C15orf60	ENST00000331090
REC114	NM_001042367
NPTN	NM_012428
CD276	NM_001024736
C15orf59	NM_001039614
TBC1D21	NM_153356
LOXL1	NM_005576
STOML1	NM_004809
PML	NM_033238
GOLGA6A	NM_001038640
RP11-247C2.2	ENST00000514871
ISLR2	NM_020851
ISLR	NM_005545
STRA6	NM_001199042
CCDC33	NM_025055
CYP11A1	NM_000781
SEMA7A	NM_003612
UBL7	NM_001286742
ARID3B	NM_006465
CLK3	NM_001130028
EDC3	NM_025083
CYP1A1	NM_000499
CYP1A2	NM_000761
CSK	NM_004383
LMAN1L	NM_021819
CPLX3	NM_001030005
ULK3	NM_001099436
SCAMP2	NM_005697
MPI	NM_002435
FAM219B	NM_020447
COX5A	NM_004255
RPP25	NM_017793
SCAMP5	NM_001178111
PPCDC	NM_021823
C15orf39	NM_015492
GOLGA6C	NM_001164404
GOLGA6D	NM_001145224
COMMD4	NM_017828
NEIL1	NM_001256552
MAN2C1	NM_001256494
SIN3A	NM_001145357
PTPN9	NM_002833
SNUPN	NM_005701
IMP3	NM_018285
SNX33	NM_153271
CSPG4	NM_001897
AC105020.1	ENST00000435356
ODF3L1	NM_175881
AC019294.1	ENST00000543887
UBE2Q2	NM_173469
FBXO22	NM_147188
NRG4	NM_138573
C15orf27	NM_152335
ETFA	NM_000126
ISL2	NM_145805
SCAPER	NM_020843
RCN2	NM_001271837
PSTPIP1	NM_003978
TSPAN3	NM_005724
PEAK1	NM_024776
HMG20A	NM_018200
LINGO1	NM_032808
TBC1D2B	NM_144572
SH2D7	NM_001101404
CIB2	NM_006383
IDH3A	NM_005530
ACSBG1	NM_015162
DNAJA4	NM_018602
WDR61	NM_025234
CRABP1	NM_004378
IREB2	NM_004136
HYKK	NM_001013619
AC027228.1	ENST00000599596
PSMA4	NM_002789
CHRNA5	NM_000745
CHRNA3	NM_000743
CHRNB4	NM_000750
ADAMTS7	NM_014272
MORF4L1	NM_206839
CTSH	NM_004390
RASGRF1	NM_002891
ANKRD34C	NM_001146341
TMED3	NM_007364
KIAA1024	NM_015206
ST20-MTHFS	NM_001199760
MTHFS	NM_006441
ST20	NM_001199757
C15orf37	ENST00000560255
C15ORF37	ENST00000542003
BCL2A1	NM_001114735
ZFAND6	NM_001242914
FAH	NM_000137
RP11-210M15.2	ENST00000559008
ARNT2	NM_014862
ABHD17C	NM_021214
CEMIP	NM_018689
KIAA1199	NM_001293298
RP11-351M8.1	ENST00000560560
MESDC2	NM_015154
MESDC1	NM_022566
C15orf26	NM_173528
IL16	NM_172217
STARD5	NM_181900
TMC3	NM_001080532
MEX3B	NM_032246
RP11-597K23.2	ENST00000559788
EFTUD1	NM_024580
FAM154B	NM_001008226
GOLGA6L10	NM_001164465
GOLGA6L9	NM_198181
RPS17	NM_001021
GOLGA6L18	ENST00000559949
GOLGA6L19	ENST00000557886
GOLGA6L20	ENST00000561062
RPS17L	ENST00000558397
RP11-152F13.10	ENST00000562833
RP11-379H8.1	ENST00000568285
CPEB1	NM_030594
AP3B2	NM_001278512
FSD2	NM_001007122
WHAMM	NM_001080435
HOMER2	NM_199330
FAM103A1	NM_031452
C15orf40	NM_001160115
BTBD1	NM_025238
TM6SF1	NM_023003
HDGFRP3	NM_016073
BNC1	NM_001717
SH3GL3	NM_001301109
ADAMTSL3	NM_207517
UBE2Q2L	NM_001243531
GOLGA6L4	NM_001267536
ZSCAN2	NM_181877
WDR73	NM_032856
NMB	NM_205858
SEC11A	NM_014300
ZNF592	NM_014630
ALPK3	NM_020778
SLC28A1	NM_004213
PDE8A	NM_002605
AKAP13	NM_006738
KLHL25	NM_022480
AGBL1	NM_152336
NTRK3	NM_001012338
MRPL46	NM_022163
MRPS11	NM_022839
DET1	NM_017996
AEN	NM_022767
ISG20	NM_002201
ACAN	NM_013227
HAPLN3	NM_178232
MFGE8	NM_005928
ABHD2	NM_152924
RLBP1	NM_000326
FANCI	NM_001113378
POLG	NM_001126131
RHCG	NM_016321
TICRR	NM_152259
KIF7	NM_198525
PLIN1	NM_001145311
PEX11A	NM_003847
WDR93	NM_020212
MESP1	NM_018670
MESP2	NM_001039958
ANPEP	NM_001150
AP3S2	NM_005829
C15orf38-AP3S2	NM_001199058
C15orf38	NM_182616
ZNF710	NM_198526
IDH2	NM_002168
SEMA4B	NM_198925
CIB1	NM_001277764
GDPGP1	NM_001013657
TTLL13	ENST00000438251
RP11-697E2.6	ENST00000561573
NGRN	NM_001033088
GABARAPL3	ENST00000412799
ZNF774	NM_001004309
IQGAP1	NM_003870
CRTC3	NM_022769
BLM	NM_000057
FURIN	NM_001289824
FES	NM_002005
MAN2A2	NM_006122
HDDC3	NM_001286451
UNC45A	NM_018671
RCCD1	NM_033544
PRC1	NM_003981
VPS33B	NM_018668
SV2B	NM_014848
SLCO3A1	NM_013272
ST8SIA2	NM_006011
C15orf32	NM_153040
FAM174B	NM_207446
CHD2	NM_001271
RGMA	NM_001166283
AC112693.2	ENST00000599897
MCTP2	NM_018349
AC016251.1	ENST00000378936
NR2F2	NM_021005
AC087477.1	ENST00000600790
SPATA8	NM_173499
LINC00923	ENST00000503874
ARRDC4	NM_183376
FAM169B	NM_182562
IGF1R	NM_000875
PGPEP1L	NM_001102612
SYNM	NM_145728
TTC23	NM_001288615
LRRC28	NM_144598
AC022819.2	ENST00000600203
AC015660.1	ENST00000595415
MEF2A	NM_005587
DKFZP779J2370	ENST00000378904
LYSMD4	NM_152449
CTD-2054N24.2	ENST00000558188
ADAMTS17	NM_139057
CERS3	NM_001290341
LINS	NM_001040616
ASB7	NM_198243
ALDH1A3	NM_000693
LRRK1	NM_024652
CHSY1	NM_014918
VIMP	NM_018445
SNRPA1	NM_003090
PCSK6	NM_002570
TM2D3	NM_078474
TARSL2	NM_152334
RP11-89K11.1	ENST00000560292
OR4F6	NM_001005326
OR4F15	NM_001001674
OR4F4	NM_001004195
WASH4P	ENST00000326592
POLR3K	NM_016310
SNRNP25	NM_024571
RHBDF1	NM_022450
MPG	NM_002434
NPRL3	NM_001077350
HBZ	NM_005332
HBM	NM_001003938
HBA2	NM_000517
HBA1	NM_000558
HBQ1	NM_005331
LUC7L	NM_201412
ITFG3	NM_032039
RGS11	NM_183337
ARHGDIG	NM_001176
PDIA2	NM_006849
AXIN1	NM_003502
MRPL28	NM_006428
TMEM8A	NM_021259
NME4	NM_005009
DECR2	NM_020664
RAB11FIP3	NM_014700
CAPN15	NM_005632
C16orf11	ENST00000409413
PRR35	NM_145270
NHLRC4	NM_176677
PIGQ	NM_148920
RAB40C	NM_021168
WFIKKN1	NM_053284
C16orf13	NM_032366
FAM195A	NM_138418
WDR90	NM_145294
RHOT2	NM_138769
RHBDL1	NM_001278720
STUB1	NM_005861
JMJD8	NM_001005920
WDR24	NM_032259
FBXL16	NM_153350
METRN	NM_024042
FAM173A	NM_023933
CCDC78	NM_001031737
HAGHL	NM_032304
NARFL	NM_022493
MSLN	NM_013404
MSLNL	ENST00000293892
RPUSD1	NM_058192
CHTF18	NM_022092
GNG13	NM_016541
PRR25	NM_001013638
LMF1	NM_022773
AC009041.2	ENST00000601510
SOX8	NM_014587
SSTR5	NM_001172560
C1QTNF8	NM_207419
CACNA1H	NM_021098
TPSG1	NM_012467
TPSB2	NM_024164
TPSAB1	NM_003294
TPSD1	NM_012217
UBE2I	NM_194259
BAIAP3	NM_003933
TSR3	NM_001001410
GNPTG	NM_032520
UNKL	NM_001193388
C16orf91	NM_001272051
CCDC154	NM_001143980
CLCN7	NM_001287
PTX4	NM_001013658
TELO2	NM_016111
IFT140	NM_014714
TMEM204	NM_001256541
CRAMP1L	NM_020825
LA16c-431H6.6	ENST00000454337
HN1L	NM_144570
MAPK8IP3	NM_015133
NME3	NM_002513
MRPS34	NM_001300900
EME2	NM_001257370
SPSB3	NM_080861
NUBP2	NM_012225
IGFALS	NM_001146006
HAGH	NM_005326
FAHD1	NM_001018104
MEIOB	NM_001163560
HS3ST6	NM_001009606
MSRB1	NM_016332
RPL3L	NM_005061
NDUFB10	NM_004548
RPS2	NM_002952
RNF151	NM_174903
TBL3	NM_006453
NOXO1	NM_172168
AC005606.1	ENST00000598236
GFER	NM_005262
SYNGR3	NM_004209
ZNF598	NM_178167
NPW	NM_001099456
SLC9A3R2	NM_001130012
NTHL1	NM_002528
TSC2	NM_000548
PKD1	NM_000296
RAB26	NM_014353
TRAF7	NM_032271
CASKIN1	NM_020764
MLST8	NM_001199173
BRICD5	NM_182563
PGP	NM_001042371
E4F1	NM_004424
DNASE1L2	NM_001374
ECI1	NM_001919
AC009065.1	ENST00000454671
RNPS1	NM_001286625
ABCA3	NM_001089
CCNF	NM_001761
C16orf59	NM_025108
NTN3	NM_006181
TBC1D24	NM_001199107
RP11-20I23.1	ENST00000564543
ATP6C	ENST00000569317
ATP6V0C	NM_001198569
AMDHD2	NM_001145815
CEMP1	NM_001048212
PDPK1	NM_002613
KCTD5	NM_018992
PRSS27	NM_031948
SRRM2	NM_016333
TCEB2	NM_207013
PRSS33	NM_152891
PRSS41	NM_001135086
PRSS21	NM_006799
ZG16B	NM_145252
PRSS22	NM_022119
FLYWCH2	NM_001142499
FLYWCH1	NM_032296
KREMEN2	NM_172229
PAQR4	NM_152341
PKMYT1	NM_004203
CLDN9	NM_020982
CLDN6	NM_021195
TNFRSF12A	NM_016639
HCFC1R1	NM_001002018
THOC6	NM_024339
CCDC64B	NM_001103175
MMP25	NM_022468
IL32	NM_001012631
ZSCAN10	NM_032805
ZNF205	NM_001278158
ZNF213	NM_001134655
CASP16	ENST00000428155
OR1F1	NM_012360
ZNF200	NM_198088
MEFV	NM_000243
ZNF263	NM_005741
TIGD7	NM_033208
ZNF75A	NM_153028
OR2C1	NM_012368
MTRNR2L4	NM_001190476
ZSCAN32	NM_001284527
ZNF174	NM_003450
ZNF597	NM_152457
NAA60	NM_024845
C16orf90	NM_001080524
CLUAP1	NM_015041
NLRC3	NM_178844
SLX4	NM_032444
DNASE1	NM_005223
TRAP1	NM_016292
CREBBP	NM_004380
ADCY9	NM_001116
SRL	NM_001098814
TFAP4	NM_003223
GLIS2	NM_032575
CORO7-PAM16	NM_001201479
PAM16	NM_016069
CORO7	NM_024535
VASN	NM_138440
DNAJA3	NM_005147
NMRAL1	NM_020677
HMOX2	NM_001286267
CDIP1	NM_013399
C16orf96	NM_001145011
UBALD1	NM_145253
MGRN1	NM_015246
NUDT16L1	NM_032349
ANKS3	NM_133450
C16orf71	NM_139170
ZNF500	NM_021646
SEPT12	NM_144605
SMIM22	NM_001253794
ROGDI	NM_024589
GLYR1	NM_032569
UBN1	NM_001079514
PPL	NM_002705
SEC14L5	NM_014692
NAGPA	NM_016256
C16orf89	NM_152459
ALG1	NM_019109
FAM86A	NM_201400
RBFOX1	NM_145891
TMEM114	NM_001146336
METTL22	NM_024109
ABAT	NM_000663
TMEM186	NM_015421
PMM2	NM_000303
CARHSP1	NM_001278265
USP7	NM_003470
C16orf72	NM_014117
RP11-297M9.1	ENST00000561538
GRIN2A	NM_000833
ATF7IP2	NM_024997
EMP2	NM_001424
TEKT5	NM_144674
NUBP1	NM_002484
TVP23A	NM_001079512
CIITA	NM_000246
DEXI	NM_014015
CLEC16A	NM_015226
SOCS1	NM_003745
TNP2	NM_005425
PRM3	NM_021247
PRM2	NM_001286356
PRM1	NM_002761
RMI2	NM_152308
CTD-3088G3.8	ENST00000598234
LITAF	NM_001136472
SNN	NM_003498
TXNDC11	NM_015914
ZC3H7A	NM_014153
RSL1D1	NM_015659
GSPT1	NM_002094
RP11-166B2.1	ENST00000399147
TNFRSF17	NM_001192
AC007216.2	ENST00000597717
SNX29	NM_032167
RP11-276H1.3	ENST00000312019
CPPED1	NM_018340
SHISA9	NM_001145204
ERCC4	NM_005236
MKL2	NM_014048
PARN	NM_002582
AC092291.2	ENST00000599734
BFAR	NM_016561
PLA2G10	NM_003561
NPIPA3	NM_001277323
NPIPA2	NM_001277324
NOMO1	NM_014287
NPIPA1	NM_006985
PDXDC1	NM_015027
NTAN1	NM_173474
RRN3	NM_018427
NPIPA5	NM_001277325
MPV17L	NM_001128423
RP11-1021N1.1	ENST00000568222
C16orf45	NM_033201
KIAA0430	NM_014647
NDE1	NM_017668
MYH11	NM_001040114
FOPNL	NM_144600
ABCC1	NM_004996
ABCC6	NM_001171
NOMO3	NM_001004067
NPIPA8	NM_001282511
NPIPA7	NM_001282507
XYLT1	NM_022166
NOMO2	NM_001004060
RPS15A	NM_001019
RP11-1035H13.3	ENST00000567078
ARL6IP1	NM_015161
SMG1	NM_015092
TMC7	NM_001300732
COQ7	NM_016138
CTD-2349B8.1	ENST00000564808
ITPRIPL2	NM_001034841
SYT17	NM_016524
CLEC19A	NM_001256720
TMC5	NM_001105248
GDE1	NM_016641
CCP110	NM_001199022
C16orf62	NM_020314
KNOP1	NM_001012991
IQCK	NM_153208
GPRC5B	NM_016235
GPR139	NM_001002911
GP2	NM_001007240
UMOD	NM_001278614
PDILT	NM_174924
ACSM5	NM_017888
ACSM2A	NM_001010845
AC137056.1	ENST00000593357
ACSM2B	NM_001105069
ACSM1	NM_052956
THUMPD1	NM_017736
ACSM3	NM_005622
ERI2	NM_001142725
LOC81691	NM_001199053
AC004381.6	ENST00000564274
DCUN1D3	NM_173475
LYRM1	NM_020424
DNAH3	NM_017539
TMEM159	NM_020422
ZP2	NM_003460
ANKS4B	NM_145865
CRYM	NM_001888
NPIPB3	NM_130464
METTL9	NM_016025
IGSF6	NM_005849
OTOA	NM_144672
NPIPB4	ENST00000415645
UQCRC2	NM_003366
PDZD9	NM_173806
C16orf52	NM_001164579
VWA3A	NM_173615
SDR42E2	ENST00000602312
EEF2K	NM_013302
POLR3E	NM_018119
CDR2	NM_001802
NPIPB5	NM_001135865
HS3ST2	NM_006043
USP31	NM_020718
SCNN1G	NM_001039
SCNN1B	NM_000336
COG7	NM_153603
GGA2	NM_015044
EARS2	NM_001083614
UBFD1	NM_019116
NDUFAB1	NM_005003
PALB2	NM_024675
DCTN5	NM_032486
PLK1	NM_005030
ERN2	NM_033266
CHP2	NM_022097
PRKCB	NM_002738
CACNG3	NM_006539
RBBP6	NM_006910
TNRC6A	NM_014494
SLC5A11	NM_052944
ARHGAP17	NM_001006634
LCMT1	NM_016309
AQP8	NM_001169
ZKSCAN2	NM_001012981
HS3ST4	NM_006040
C16orf82	NM_001145545
KDM8	NM_001145348
NSMCE1	NM_145080
CTD-3203P2.2	ENST00000566854
IL4R	NM_001257406
IL21R	NM_181079
GTF3C1	NM_001520
KIAA0556	NM_015202
GSG1L	NM_001109763
XPO6	NM_015171
SBK1	NM_001024401
NPIPB6	NM_001282524
